file 	 epsilon 	 QC 	 QS 	 QCprime 	 ret 	 time 
SDN00001_L00010_R00002.txt	0	1.0	0.0	1.0	2	0.0571951829479076
SDN00001_L00010_R00002.txt	0.01	1.0	0.0	1.0	2	0.06948557001305744
SDN00001_L00010_R00002.txt	0.02	1.0	0.0	1.0	2	0.07202469202456996
SDN00001_L00010_R00002.txt	0.05	1.0	0.0	1.0	2	0.12166456697741523
SDN00001_L00010_R00002.txt	0.1	1.0	0.0	1.0	2	0.07548227801453322
SDN00001_L00010_R00002.txt	0.2	1.0	0.0	1.0	2	0.12130505702225491
SDN00001_L00010_R00002.txt	0.3	0.9666666666666667	0.06451612903225806	0.9863945578231292	2	0.08266115403966978
SDN00001_L00010_R00002.txt	0.4	0.9095238095238095	0.16593886462882096	0.9285714285714286	2	0.0740742509951815
SDN00001_L00010_R00002.txt	0.5	0.9666666666666667	0.06451612903225806	0.9523809523809523	1	0.12113379902439192
SDN00002_L00010_R00000.txt	0	1.0	0.0	1.0	0	0.05697335599688813
SDN00002_L00010_R00000.txt	0.01	1.0	0.0	1.0	0	0.054928147001191974
SDN00002_L00010_R00000.txt	0.02	1.0	0.0	1.0	0	0.058709178993012756
SDN00002_L00010_R00000.txt	0.05	1.0	0.0	1.0	0	0.06211637397063896
SDN00002_L00010_R00000.txt	0.1	1.0	0.0	1.0	0	0.11130340595263988
SDN00002_L00010_R00000.txt	0.2	1.0	0.0	1.0	0	0.06424153101397678
SDN00002_L00010_R00000.txt	0.3	1.0	0.0	1.0	0	0.06763054803013802
SDN00002_L00010_R00000.txt	0.4	1.0	0.0	1.0	0	0.12424372602254152
SDN00002_L00010_R00000.txt	0.5	1.0	0.0	1.0	0	0.07601824402809143
SDN00003_L00010_R00001.txt	0	1.0	0.0	1.0	1	0.010190474044065922
SDN00003_L00010_R00001.txt	0.01	1.0	0.0	1.0	1	0.1136755240149796
SDN00003_L00010_R00001.txt	0.02	1.0	0.0	1.0	1	0.06942483101738617
SDN00003_L00010_R00001.txt	0.05	1.0	0.0	1.0	1	0.07295946503290907
SDN00003_L00010_R00001.txt	0.1	1.0	0.0	1.0	1	0.1290825249743648
SDN00003_L00010_R00001.txt	0.2	1.0	0.0	1.0	1	0.083628585038241
SDN00003_L00010_R00001.txt	0.3	1.0	0.0	1.0	1	0.07582171401008964
SDN00003_L00010_R00001.txt	0.4	0.8523809523809524	0.2572614107883817	0.8492063492063492	0	0.1287490439717658
SDN00003_L00010_R00001.txt	0.5	0.8809523809523809	0.2127659574468085	0.8952380952380953	2	0.07766603998607025
SDN00004_L00010_R00002.txt	0	1.0	0.0	1.0	2	0.02020349004305899
SDN00004_L00010_R00002.txt	0.01	1.0	0.0	1.0	2	0.12751250597648323
SDN00004_L00010_R00002.txt	0.02	1.0	0.0	1.0	2	0.07902388100046664
SDN00004_L00010_R00002.txt	0.05	1.0	0.0	1.0	2	0.079599978053011
SDN00004_L00010_R00002.txt	0.1	1.0	0.0	1.0	2	0.1306903240038082
SDN00004_L00010_R00002.txt	0.2	1.0	0.0	1.0	2	0.07838778098812327
SDN00004_L00010_R00002.txt	0.3	1.0	0.0	1.0	2	0.0850489940494299
SDN00004_L00010_R00002.txt	0.4	1.0	0.0	1.0	2	0.13080604100832716
SDN00004_L00010_R00002.txt	0.5	0.8285714285714286	0.2926829268292683	0.8285714285714286	0	0.07978638599161059
SDN00005_L00010_R00002.txt	0	1.0	0.0	1.0	2	0.016448568960186094
SDN00005_L00010_R00002.txt	0.01	1.0	0.0	1.0	2	0.11264066200237721
SDN00005_L00010_R00002.txt	0.02	1.0	0.0	1.0	2	0.06636448705103248
SDN00005_L00010_R00002.txt	0.05	1.0	0.0	1.0	2	0.11268232896691188
SDN00005_L00010_R00002.txt	0.1	1.0	0.0	1.0	2	0.07158783701015636
SDN00005_L00010_R00002.txt	0.2	1.0	0.0	1.0	2	0.07332408602815121
SDN00005_L00010_R00002.txt	0.3	0.9666666666666667	0.06451612903225806	0.9659863945578231	2	0.11531570099759847
SDN00005_L00010_R00002.txt	0.4	1.0	0.0	1.0	2	0.07477690995438024
SDN00005_L00010_R00002.txt	0.5	0.8904761904761904	0.19742489270386265	0.9047619047619048	1	0.11781115300254896
SDN00006_L00010_R00003.txt	0	1.0	0.0	1.0	3	0.02640440099639818
SDN00006_L00010_R00003.txt	0.01	1.0	0.0	1.0	3	0.07736983895301819
SDN00006_L00010_R00003.txt	0.02	1.0	0.0	1.0	3	0.07694877503672615
SDN00006_L00010_R00003.txt	0.05	1.0	0.0	1.0	3	0.07756551000056788
SDN00006_L00010_R00003.txt	0.1	1.0	0.0	1.0	3	0.0794839279842563
SDN00006_L00010_R00003.txt	0.2	1.0	0.0	1.0	3	0.12290148803731427
SDN00006_L00010_R00003.txt	0.3	1.0	0.0	1.0	3	0.08206604397855699
SDN00006_L00010_R00003.txt	0.4	1.0	0.0	1.0	3	0.0835993709624745
SDN00006_L00010_R00003.txt	0.5	0.9333333333333333	0.125	0.9619047619047619	2	0.08173855999484658
SDN00007_L00010_R00003.txt	0	1.0	0.0	1.0	3	0.03440218698233366
SDN00007_L00010_R00003.txt	0.01	1.0	0.0	1.0	3	0.07579877000534907
SDN00007_L00010_R00003.txt	0.02	1.0	0.0	1.0	3	0.11912075598957017
SDN00007_L00010_R00003.txt	0.05	1.0	0.0	1.0	3	0.07804416003637016
SDN00007_L00010_R00003.txt	0.1	1.0	0.0	1.0	3	0.08044257399160415
SDN00007_L00010_R00003.txt	0.2	1.0	0.0	1.0	3	0.12189203704474494
SDN00007_L00010_R00003.txt	0.3	0.9666666666666667	0.06451612903225806	0.9795918367346939	2	0.08683325996389613
SDN00007_L00010_R00003.txt	0.4	0.9666666666666667	0.06451612903225806	0.9682539682539683	2	0.1207408340414986
SDN00007_L00010_R00003.txt	0.5	0.9666666666666667	0.06451612903225806	0.9904761904761905	2	0.07931134302634746
SDN00008_L00010_R00003.txt	0	1.0	0.0	1.0	3	0.02475204796064645
SDN00008_L00010_R00003.txt	0.01	1.0	0.0	1.0	3	0.11090513301314786
SDN00008_L00010_R00003.txt	0.02	1.0	0.0	1.0	3	0.06900235201464966
SDN00008_L00010_R00003.txt	0.05	1.0	0.0	1.0	3	0.08236472000135109
SDN00008_L00010_R00003.txt	0.1	1.0	0.0	1.0	3	0.1217549400171265
SDN00008_L00010_R00003.txt	0.2	1.0	0.0	1.0	3	0.07784010301111266
SDN00008_L00010_R00003.txt	0.3	0.9666666666666667	0.06451612903225806	0.9659863945578231	3	0.11343039898201823
